0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8134731683286986e-10,1.7835621075294473e-10,1.7536385778694885e-10,1.723702574992153e-10,1.693754094594118e-10,1.6637931323396406e-10,1.6338196838701323e-10,1.603833744895325e-10,1.5738353110480793e-10,1.54382437800347e-10,1.5138009414129717e-10,1.453716540247213e-10,1.3634960534206562e-10,1.2128779252775526e-10,9.106997719504953e-11,6.072621191874126e-11,3.025605905158754e-11,1.8134731683286986e-10,1.801510240003894e-10,1.7895453170660536e-10
5.33964657215816e-10,5.28048177798674e-10,5.221284457636901e-10,5.16205462225767e-10,5.102792283225443e-10,5.043497451850059e-10,4.984170139535397e-10,4.924810357732249e-10,4.865418117894201e-10,4.805993431484489e-10,4.746536310080747e-10,4.62752480850484e-10,4.448764584041579e-10,4.1501837340886725e-10,3.550600620923256e-10,2.947799122332705e-10,2.3417917686124934e-10,5.33964657215816e-10,5.315984558374293e-10,5.292317339301411e-10
1.0321840752722629e-09,1.0232455798041736e-09,1.0143014421874288e-09,1.0053516717341019e-09,9.963962777828598e-10,9.874352696981242e-10,9.7846865685598e-10,9.694964486682846e-10,9.605186545533758e-10,9.51535283963143e-10,9.425463463534389e-10,9.245518080703618e-10,8.975184859391663e-10,8.523528824469754e-10,7.616132889079202e-10,6.703373849934938e-10,5.785352050132722e-10,1.0321840752722629e-09,1.0286093547391345e-09,1.025033730567863e-09
1.6706825023357565e-09,1.6585247905180748e-09,1.6463585939933412e-09,1.6341839422693783e-09,1.622000864925198e-09,1.6098093916075844e-09,1.5976095520251008e-09,1.5854013759776352e-09,1.57318489330102e-09,1.560960133917717e-09,1.5487271278130173e-09,1.5242364957050614e-09,1.487439450632143e-09,1.4259501420361572e-09,1.3023819704933716e-09,1.1780537182560296e-09,1.0529971728581255e-09,1.6706825023357565e-09,1.6658204376587243e-09,1.6609570126047222e-09
