0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
-6.49052088464203e-06,-6.510958049799953e-06,-6.531390693404055e-06,-6.5518188148652835e-06,-6.5722424135865466e-06,-6.592661488970716e-06,-6.613076040424726e-06,-6.633486067355472e-06,-6.653891569169884e-06,-6.674292545268845e-06,-6.694688995063304e-06,-6.735468313348224e-06,-6.796603328595295e-06,-6.898404415163803e-06,-7.101666549521392e-06,-7.3044748016805025e-06,-7.5068285741442094e-06,-6.49052088464203e-06,-6.498696293255615e-06,-6.506870978473614e-06
-1.1029527624789385e-06,-1.1597621879463891e-06,-1.216497793374095e-06,-1.273159601336105e-06,-1.3297476344057107e-06,-1.3862619151421095e-06,-1.442702466111489e-06,-1.3388382711883562e-06,-1.356150850590872e-06,-1.3734473131463311e-06,-1.3907276615901685e-06,-1.425240027052098e-06,-1.476887787240202e-06,-1.5626454643902427e-06,-1.732954784238847e-06,-1.9016581722232159e-06,-2.068758065666809e-06,-1.1029527624789385e-06,-1.1256853925158825e-06,-1.1484062091765778e-06
6.250340941272618e-07,6.072986345108115e-07,5.895992848020667e-07,5.719360415759967e-07,5.543089014316e-07,5.367178610626319e-07,5.191629171911726e-07,5.079197523880862e-07,4.919690891348798e-07,4.7605436466632236e-07,4.6017557653604483e-07,4.2852579969147846e-07,3.8132059842887007e-07,3.0336368958605566e-07,1.5014311519209317e-07,5.122468795177499e-10,-1.4553000598348606e-07,6.250340941272618e-07,6.17935576868924e-07,6.108428375329089e-07
