0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
352320.0288265762,352320.0288265762,352320.0288265762,352320.0288265762,352320.0288265762,352320.0288265762,352320.0288265762,352320.0288265762,352320.0288265762,352320.0288265762,352320.0288265762,352320.0288265762,352320.0288265762,352320.0288265762,352320.0288265762,352320.0288265762,352320.0288265762,352320.0288265762,352320.0288265762,352320.0288265762
351461.61084668513,351458.00410879747,351454.39737090986,351450.7906330224,351447.183895135,351443.57715724775,351439.97041936056,351436.3636814735,351432.7569435865,351429.1502056996,351425.5434678128,351418.3299920396,351407.5097783805,351389.4760889507,351353.4087100987,351317.3413312569,351281.2739524252,351461.61084668513,351460.16815153003,351458.725456375
350762.9470470631,350756.4614140301,350749.9778788867,350743.4964418207,350737.0171030198,350730.53986267245,350724.0647209666,350717.5916780905,350711.12073423306,350704.65188958263,350698.18514432816,350685.25795276347,350665.88291561615,350633.63320022,350569.2914046033,350505.15994892514,350441.23902623286,350762.9470470631,350760.35254211514,350757.7583728116
350151.67798354104,350142.66354419745,350133.65508894634,350124.6526172043,350115.6561283894,350106.665621922,350097.68109722325,350088.7025537166,350079.72999082704,350070.7634079809,350061.8028046066,350043.89953399525,350017.0894599207,349972.5255172437,349883.84556079376,349795.7623919251,349708.27548510494,350151.67798354104,350148.0714896751,350144.46595332003
349594.8562748788,349583.4945694758,349572.14436307736,349560.8056526593,349549.47843520733,349538.1627077157,349526.85846718773,349515.56571063603,349504.28443508234,349493.0146375572,349481.75631510065,349459.2740835991,349425.6367258908,349369.80357471347,349258.99515437434,349149.3282500678,349040.80015622743,349594.8562748788,349590.3102126432,349585.76599053916
349062.43748168234,349048.7841590676,349035.1493047396,349021.5329106297,349007.934968697,348994.3554709287,348980.79440933926,348967.2517759717,348953.7275628963,348940.22176221217,348926.73436604615,348899.8147559181,348859.57317942043,348792.8709411892,348660.83952107094,348530.632713716,348402.2434317484,349062.43748168234,349056.9739359246,349051.513345869
348840.4185904954,348824.9686660929,348809.54673371796,348794.15278156346,348778.78679791203,348763.44877113606,348748.13868969836,348732.8565421525,348717.6023171428,348702.37600340525,348687.1775897677,348656.8644185654,348611.6036385346,348536.72556750453,348389.05196371867,348244.14718752884,348102.00266216905,348840.4185904954,348834.23526093183,348828.05641123187
