0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1.2772912134837674e-06,1.267395086896606e-06,1.2575000157696023e-06,1.2476060001653585e-06,1.2377130401543052e-06,1.2278211358009976e-06,1.2179302871778228e-06,1.2080404943493412e-06,1.1981517573820674e-06,1.1882640763483832e-06,1.1783774513128542e-06,1.1586073695042677e-06,1.1289601684824709e-06,1.0795692957866813e-06,9.808668147198826e-07,8.822700759740451e-07,7.837791474792397e-07,1.2772912134837674e-06,1.2733326361980646e-06,1.2693742277818426e-06
2.56014557438286e-06,2.5476773157728567e-06,2.5352181098502227e-06,2.5227679550557205e-06,2.5103268498260073e-06,2.497894792595709e-06,2.4854717818105387e-06,2.4730578159158832e-06,2.4606528933603982e-06,2.448257012592248e-06,2.4358701720635047e-06,2.411123605590728e-06,2.374071519253221e-06,2.3124986425341727e-06,2.1900294605028067e-06,2.0684611314997396e-06,1.947792191916279e-06,2.56014557438286e-06,2.555157184513841e-06,2.5501702432261607e-06
3.6694991070170296e-06,3.667538709691748e-06,3.665578716668361e-06,3.663619127879951e-06,3.6616599432470457e-06,3.6597011626963293e-06,3.6577427861565034e-06,3.655784813550122e-06,3.6538272448015826e-06,3.651870079845643e-06,3.649913318598396e-06,3.6460010069499512e-06,3.640135565451039e-06,3.630367893914022e-06,3.5437643721066285e-06,3.4154538532843942e-06,3.289657403159488e-06,3.6694991070170296e-06,3.6687148995652302e-06,3.6679307568076275e-06
3.6589527334325827e-06,3.612994868314158e-06,3.5671062176911095e-06,3.521286753919186e-06,3.47553644944442e-06,3.429855276784275e-06,3.384243208556782e-06,3.338700217451683e-06,3.2932262762423697e-06,3.247821357802823e-06,3.2024854350846e-06,3.1120204689926355e-06,2.976839816272e-06,2.7529150810717834e-06,2.3078978155003065e-06,1.869328388872485e-06,1.4389208309645135e-06,3.6589527334325827e-06,3.6405612798718495e-06,3.6221809032913883e-06
